Artists,Track,Type,FA status,Has label,Permission,Comment,Tournament,Mappool slot,Tournament link,Note,Beatmap,FA listing,SoundCloud,YouTube,Spotify,Bandcamp,Asset
`Down`,Down - ddm,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Closed 2022,Quarterfinals NM6,,,https://osu.ppy.sh/beatmapsets/1764656,,,,https://open.spotify.com/album/5ygle8UZPbAqJ8XuMAKgnl,,
`Kyutatsuki`,Kyutatsuki - _alc.yone,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Closed 2022,Grand Finals NM4,,,https://osu.ppy.sh/beatmapsets/1781161,,,https://www.youtube.com/watch?v=_LkXGLHR6Tg,,,
`Acylica`,Acylica - yoshicorsace,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Semifinals NM4,,,https://osu.ppy.sh/beatmapsets/1842665,,,https://www.youtube.com/watch?v=PwxRJUPhYAo,,,
`Down`,Down - Halfslashed,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Quarterfinals FM1,,,https://osu.ppy.sh/beatmapsets/1837962,,,https://www.youtube.com/watch?v=r2RH3_a7ld4,,,
`Down`,Down - UberFazz,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Finals FM2,,,https://osu.ppy.sh/beatmapsets/1846742,,,https://www.youtube.com/watch?v=S3E9D1d48Nc,,,
`Fuyuki Seana`,Fuyuki Seana - OVERFLOW SKIES,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Finals tiebreaker,,,https://osu.ppy.sh/beatmapsets/1846756,,https://soundcloud.com/sylp-hide/overflow-skies,,,,
`ikaruga_nex`,ikaruga_nex - SICK ROCK CRAZY,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Quarterfinals tiebreaker,,,https://osu.ppy.sh/beatmapsets/1838305,,https://soundcloud.com/ikaruga_nex/corsace-open-2022-sick-rock-crazy,,,,
`Kara`,Kara - AGAVEiL,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Semifinals tiebreaker,,,https://osu.ppy.sh/beatmapsets/1842694,,https://soundcloud.com/karalineavu/agaveill,,,,
`NTRSOUND`; `Estia`,NTRSOUND and Estia - Wisps of Nifl,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Corsace Open 2022,Round of 16 tiebreaker,,,https://osu.ppy.sh/beatmapsets/1833757,,https://soundcloud.com/estia_dtm/wisps-of-nifl,,,,
`Kushper`,Kushper - MENDENIKANOID,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,DACH Cup,Finals NM5,,,https://osu.ppy.sh/beatmapsets/1828651,,,https://www.youtube.com/watch?v=hvs6-APcZ8Y,,,
`HowToPlayLN`,HowToPlayLN - Eternal Bliss,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,DDS Tournament,Finals LN pick,,,https://osu.ppy.sh/beatmapsets/1635183,,,,,,
`Down`,Down - Solo Cup,TOURNAMENT_COMMUNITY,NONE,0,ASSUMED,,Duo Cup: Korea 2022,Semifinals FM1,,,https://osu.ppy.sh/beatmapsets/1760520,,,,https://open.spotify.com/album/4qMVTbgHvQThqza3pOgvag,,
